canonical_id,source,class_folder,n_images,top_cross_source_match,top_cross_source_cosine,second_cross_source_match,second_cosine,needs_review
0,bdsl_mnist,0,60,bdsl47_letters:Sign 14,0.7730,bdsl47_letters:Sign 0,0.7719,1
0,bdsl_mnist,10,60,bdsl47_letters:Sign 9,0.8005,bdsl47_letters:Sign 8,0.7964,1
0,bdsl_mnist,13,60,bdsl47_letters:Sign 23,0.7899,bdsl47_letters:Sign 18,0.7806,1
0,bdsl_mnist,14,60,bdsl47_letters:Sign 0,0.7972,bdsl47_letters:Sign 8,0.7961,1
0,bdsl_mnist,15,60,bdsl47_letters:Sign 23,0.7723,bdsl47_letters:Sign 22,0.7703,1
0,bdsl_mnist,18,60,bdsl47_letters:Sign 8,0.8148,bdsl47_letters:Sign 0,0.8130,1
0,bdsl_mnist,22,60,bdsl47_letters:Sign 0,0.7812,bdsl47_letters:Sign 22,0.7800,1
0,bdsl_mnist,27,60,bdsl47_letters:Sign 23,0.7731,bdsl47_letters:Sign 22,0.7723,1
0,bdsl_mnist,9,60,bdsl47_letters:Sign 0,0.8022,bdsl47_letters:Sign 9,0.7982,1
1,bdsl_mnist,1,60,bdsl47_letters:Sign 14,0.8124,bdsl47_digits:Sign 3,0.8121,1
2,bdsl_mnist,11,60,bdsl47_letters:Sign 0,0.7200,bdsl47_letters:Sign 11,0.7130,1
2,bdsl_mnist,12,60,bdsl47_letters:Sign 5,0.8246,bdsl47_letters:Sign 22,0.8185,1
2,bdsl_mnist,2,60,bdsl47_letters:Sign 5,0.7307,bdsl47_letters:Sign 11,0.7279,1
2,bdsl_mnist,20,60,bdsl47_letters:Sign 0,0.7706,bdsl47_letters:Sign 9,0.7695,1
2,bdsl_mnist,3,60,bdsl47_letters:Sign 23,0.7165,bdsl47_letters:Sign 22,0.7153,1
2,bdsl_mnist,34,60,bdsl47_letters:Sign 22,0.7888,bdsl47_letters:Sign 5,0.7885,1
2,bdsl_mnist,36,60,bdsl47_letters:Sign 5,0.7105,bdsl47_letters:Sign 22,0.7055,1
2,bdsl_mnist,5,60,bdsl47_letters:Sign 5,0.7416,bdsl47_letters:Sign 9,0.7282,1
2,bdsl_mnist,6,60,bdsl47_letters:Sign 22,0.7697,bdsl47_letters:Sign 5,0.7681,1
2,bdsl_mnist,7,60,bdsl47_letters:Sign 5,0.7291,bdsl47_letters:Sign 9,0.7274,1
2,bdsl_mnist,8,60,bdsl47_letters:Sign 22,0.7684,bdsl47_letters:Sign 5,0.7603,1
3,bdsl_mnist,16,60,bdsl47_letters:Sign 21,0.8273,bdsl47_letters:Sign 32,0.8096,1
3,bdsl_mnist,17,60,bdsl47_letters:Sign 10,0.8144,bdsl47_letters:Sign 23,0.8125,1
3,bdsl_mnist,21,60,bdsl47_letters:Sign 21,0.8143,bdsl47_letters:Sign 23,0.7998,1
3,bdsl_mnist,24,60,bdsl47_letters:Sign 10,0.8220,bdsl47_digits:Sign 1,0.8132,1
3,bdsl_mnist,25,60,bdsl47_letters:Sign 10,0.8438,bdsl47_digits:Sign 1,0.8233,1
3,bdsl_mnist,26,60,bdsl47_letters:Sign 10,0.8062,bdsl47_digits:Sign 1,0.7908,1
3,bdsl_mnist,32,60,bdsl47_letters:Sign 23,0.7815,bdsl47_letters:Sign 21,0.7798,1
3,bdsl_mnist,35,60,bdsl47_letters:Sign 23,0.7928,bdsl47_digits:Sign 1,0.7860,1
4,bdsl_mnist,19,60,bdsl47_digits:Sign 1,0.7458,bdsl47_letters:Sign 20,0.7377,1
4,bdsl_mnist,23,60,bdsl47_letters:Sign 20,0.7913,bdsl47_letters:Sign 35,0.7860,1
4,bdsl_mnist,33,60,bdsl47_digits:Sign 1,0.7521,bdsl47_letters:Sign 10,0.7507,1
5,bdsl_mnist,28,60,bdsl47_letters:Sign 28,0.6980,bdsl47_letters:Sign 8,0.6859,1
5,bdsl_mnist,29,60,bdsl47_letters:Sign 28,0.7353,bdsl47_letters:Sign 29,0.7246,1
6,bdsl_mnist,30,60,bdsl47_letters:Sign 30,0.7492,bdsl47_letters:Sign 1,0.7408,1
6,bdsl_mnist,31,60,bdsl47_letters:Sign 23,0.7859,bdsl47_letters:Sign 14,0.7802,1
6,bdsl_mnist,4,60,bdsl47_letters:Sign 14,0.7546,bdsl47_letters:Sign 23,0.7527,1
7,bdsl47_digits,Sign 0,60,bdsl47_letters:Sign 13,0.9583,bdsl47_letters:Sign 18,0.9577,1
7,bdsl47_digits,Sign 1,60,bdsl47_letters:Sign 36,0.9580,bdsl47_letters:Sign 6,0.9576,1
7,bdsl47_digits,Sign 2,60,bdsl47_letters:Sign 30,0.9375,bdsl47_letters:Sign 28,0.9363,1
7,bdsl47_digits,Sign 3,60,bdsl47_letters:Sign 30,0.9644,bdsl47_letters:Sign 31,0.9463,1
7,bdsl47_digits,Sign 4,60,bdsl47_letters:Sign 30,0.9459,bdsl47_letters:Sign 21,0.9133,1
7,bdsl47_digits,Sign 5,60,bdsl47_letters:Sign 30,0.9370,bdsl47_letters:Sign 21,0.9224,1
7,bdsl47_digits,Sign 7,60,bdsl47_letters:Sign 32,0.9365,bdsl47_letters:Sign 6,0.9277,1
7,bdsl47_digits,Sign 8,60,bdsl47_letters:Sign 21,0.9546,bdsl47_letters:Sign 32,0.9531,1
7,bdsl47_letters,Sign 1,60,bdsl47_digits:Sign 3,0.9212,bdsl47_digits:Sign 0,0.9141,1
7,bdsl47_letters,Sign 30,60,bdsl47_digits:Sign 3,0.9644,bdsl47_digits:Sign 8,0.9506,1
8,bdsl47_digits,Sign 6,60,bdsl47_letters:Sign 26,0.9594,bdsl47_letters:Sign 27,0.9504,1
8,bdsl47_digits,Sign 9,60,bdsl47_letters:Sign 27,0.9262,bdsl47_letters:Sign 28,0.9227,1
9,bdsl47_letters,Sign 0,60,bdsl47_digits:Sign 0,0.9234,bdsl47_digits:Sign 1,0.9188,1
9,bdsl47_letters,Sign 10,60,bdsl47_digits:Sign 1,0.9483,bdsl47_digits:Sign 6,0.9427,1
9,bdsl47_letters,Sign 11,60,bdsl47_digits:Sign 1,0.9051,bdsl47_digits:Sign 0,0.8999,1
9,bdsl47_letters,Sign 12,60,bdsl47_digits:Sign 1,0.9207,bdsl47_digits:Sign 6,0.8807,1
9,bdsl47_letters,Sign 13,60,bdsl47_digits:Sign 0,0.9583,bdsl47_digits:Sign 1,0.9431,1
9,bdsl47_letters,Sign 14,60,bdsl47_digits:Sign 0,0.9499,bdsl47_digits:Sign 1,0.9399,1
9,bdsl47_letters,Sign 15,60,bdsl47_digits:Sign 1,0.9523,bdsl47_digits:Sign 0,0.9423,1
9,bdsl47_letters,Sign 16,60,bdsl47_digits:Sign 1,0.9490,bdsl47_digits:Sign 0,0.9358,1
9,bdsl47_letters,Sign 17,60,bdsl47_digits:Sign 0,0.9256,bdsl47_digits:Sign 6,0.9226,1
9,bdsl47_letters,Sign 18,60,bdsl47_digits:Sign 0,0.9577,bdsl47_digits:Sign 1,0.9398,1
9,bdsl47_letters,Sign 2,60,bdsl47_digits:Sign 1,0.8949,bdsl47_digits:Sign 6,0.8705,1
9,bdsl47_letters,Sign 20,60,bdsl47_digits:Sign 1,0.9542,bdsl47_digits:Sign 6,0.9263,1
9,bdsl47_letters,Sign 21,60,bdsl47_digits:Sign 8,0.9546,bdsl47_digits:Sign 3,0.9329,1
9,bdsl47_letters,Sign 22,60,bdsl47_digits:Sign 1,0.9271,bdsl47_digits:Sign 0,0.8907,1
9,bdsl47_letters,Sign 23,60,bdsl47_digits:Sign 1,0.9406,bdsl47_digits:Sign 0,0.9212,1
9,bdsl47_letters,Sign 25,60,bdsl47_digits:Sign 6,0.9488,bdsl47_digits:Sign 1,0.9376,1
9,bdsl47_letters,Sign 3,60,bdsl47_digits:Sign 1,0.9472,bdsl47_digits:Sign 7,0.8841,1
9,bdsl47_letters,Sign 31,60,bdsl47_digits:Sign 3,0.9463,bdsl47_digits:Sign 0,0.9449,1
9,bdsl47_letters,Sign 32,60,bdsl47_digits:Sign 1,0.9566,bdsl47_digits:Sign 8,0.9531,1
9,bdsl47_letters,Sign 34,60,bdsl47_digits:Sign 6,0.9202,bdsl47_digits:Sign 1,0.9083,1
9,bdsl47_letters,Sign 35,60,bdsl47_digits:Sign 1,0.9459,bdsl47_digits:Sign 6,0.9157,1
9,bdsl47_letters,Sign 36,60,bdsl47_digits:Sign 1,0.9580,bdsl47_digits:Sign 6,0.9338,1
9,bdsl47_letters,Sign 4,60,bdsl47_digits:Sign 1,0.9363,bdsl47_digits:Sign 6,0.9080,1
9,bdsl47_letters,Sign 5,60,bdsl47_digits:Sign 1,0.9179,bdsl47_digits:Sign 0,0.8814,1
9,bdsl47_letters,Sign 6,60,bdsl47_digits:Sign 1,0.9576,bdsl47_digits:Sign 0,0.9509,1
9,bdsl47_letters,Sign 7,60,bdsl47_digits:Sign 0,0.8957,bdsl47_digits:Sign 1,0.8953,1
9,bdsl47_letters,Sign 8,60,bdsl47_digits:Sign 0,0.9299,bdsl47_digits:Sign 1,0.9297,1
9,bdsl47_letters,Sign 9,60,bdsl47_digits:Sign 0,0.9128,bdsl47_digits:Sign 1,0.9062,1
10,bdsl47_letters,Sign 19,60,bdsl47_digits:Sign 1,0.9448,bdsl47_digits:Sign 6,0.9267,1
10,bdsl47_letters,Sign 24,60,bdsl47_digits:Sign 1,0.9196,bdsl47_digits:Sign 6,0.8995,1
10,bdsl47_letters,Sign 26,60,bdsl47_digits:Sign 6,0.9594,bdsl47_digits:Sign 1,0.9392,1
