canonical_id,source,class_folder,n_images,top_cross_source_match,top_cross_source_cosine,second_cross_source_match,second_cosine,needs_review
0,bdsl_mnist,0,60,rsbdsl38:0,0.8162,rsbdsl38:15,0.8133,1
0,bdsl_mnist,1,60,rsbdsl38:30,0.8281,rsbdsl38:21,0.8215,1
0,bdsl_mnist,10,60,bdsl47_letters:Sign 08,0.8059,bdsl47_letters:Sign 09,0.8019,1
0,bdsl_mnist,11,60,rsbdsl38:2,0.8005,rsbdsl38:14,0.7961,1
0,bdsl_mnist,12,60,rsbdsl38:14,0.8207,rsbdsl38:2,0.8146,1
0,bdsl_mnist,13,60,rsbdsl38:13,0.8254,rsbdsl38:15,0.8247,1
0,bdsl_mnist,14,60,rsbdsl38:14,0.8376,rsbdsl38:15,0.8371,1
0,bdsl_mnist,15,60,rsbdsl38:15,0.8129,rsbdsl38:14,0.7978,1
0,bdsl_mnist,16,60,bdsl47_letters:Sign 21,0.8149,bdsl47_letters:Sign 13,0.8017,1
0,bdsl_mnist,17,60,rsbdsl38:24,0.8648,rsbdsl38:21,0.8601,1
0,bdsl_mnist,18,60,rsbdsl38:14,0.8278,rsbdsl38:15,0.8264,1
0,bdsl_mnist,19,60,rsbdsl38:33,0.7818,rsbdsl38:23,0.7736,1
0,bdsl_mnist,2,60,rsbdsl38:14,0.7907,rsbdsl38:2,0.7874,1
0,bdsl_mnist,20,60,rsbdsl38:2,0.8370,rsbdsl38:14,0.8250,1
0,bdsl_mnist,21,60,rsbdsl38:13,0.8534,rsbdsl38:15,0.8513,1
0,bdsl_mnist,22,60,rsbdsl38:14,0.8096,rsbdsl38:2,0.8037,1
0,bdsl_mnist,23,60,rsbdsl38:33,0.7686,rsbdsl38:23,0.7646,1
0,bdsl_mnist,24,60,rsbdsl38:24,0.8664,rsbdsl38:32,0.8517,1
0,bdsl_mnist,25,60,rsbdsl38:24,0.8401,rsbdsl38:26,0.8320,1
0,bdsl_mnist,26,60,rsbdsl38:26,0.8325,rsbdsl38:33,0.8316,1
0,bdsl_mnist,27,60,rsbdsl38:14,0.8640,rsbdsl38:15,0.8536,1
0,bdsl_mnist,3,60,rsbdsl38:14,0.8032,rsbdsl38:2,0.7999,1
0,bdsl_mnist,30,60,rsbdsl38:30,0.7858,rsbdsl38:16,0.7593,1
0,bdsl_mnist,31,60,rsbdsl38:30,0.8320,rsbdsl38:15,0.8265,1
0,bdsl_mnist,32,60,rsbdsl38:32,0.8476,rsbdsl38:24,0.8364,1
0,bdsl_mnist,33,60,rsbdsl38:33,0.7747,rsbdsl38:23,0.7571,1
0,bdsl_mnist,34,60,rsbdsl38:4,0.8493,rsbdsl38:15,0.8407,1
0,bdsl_mnist,35,60,rsbdsl38:15,0.8299,rsbdsl38:32,0.8280,1
0,bdsl_mnist,36,60,rsbdsl38:14,0.8123,rsbdsl38:36,0.8094,1
