source,class_folder,proposed_bengali,proposed_roman,confirmed_bengali,confirmed_roman,expert_confidence,notes
bdsl47_digits,Sign 0,০,shunno (0),,,,
bdsl47_digits,Sign 1,১,ek (1),,,,
bdsl47_digits,Sign 2,২,dui (2),,,,
bdsl47_digits,Sign 3,৩,tin (3),,,,
bdsl47_digits,Sign 4,৪,char (4),,,,
bdsl47_digits,Sign 5,৫,panch (5),,,,
bdsl47_digits,Sign 6,৬,chhoy (6),,,,
bdsl47_digits,Sign 7,৭,saat (7),,,,
bdsl47_digits,Sign 8,৮,aat (8),,,,
bdsl47_digits,Sign 9,৯,noy (9),,,,
bdsl47_letters,Sign 0,অ,a,,,,
bdsl47_letters,Sign 1,আ,aa,,,,
bdsl47_letters,Sign 2,ই,i,,,,
bdsl47_letters,Sign 3,ঈ,ii,,,,
bdsl47_letters,Sign 4,উ,u,,,,
bdsl47_letters,Sign 5,ঊ,uu,,,,
bdsl47_letters,Sign 6,ঋ,ri,,,,
bdsl47_letters,Sign 7,এ,e,,,,
bdsl47_letters,Sign 8,ঐ,oi,,,,
bdsl47_letters,Sign 9,ও,o,,,,
bdsl47_letters,Sign 10,ঔ,ou,,,,
bdsl47_letters,Sign 11,ক,ka,,,,
bdsl47_letters,Sign 12,খ,kha,,,,
bdsl47_letters,Sign 13,গ,ga,,,,
bdsl47_letters,Sign 14,ঘ,gha,,,,
bdsl47_letters,Sign 15,ঙ,nga,,,,
bdsl47_letters,Sign 16,চ,ca,,,,
bdsl47_letters,Sign 17,ছ,cha,,,,
bdsl47_letters,Sign 18,জ,ja,,,,
bdsl47_letters,Sign 19,ঝ,jha,,,,
bdsl47_letters,Sign 20,ঞ,nya,,,,
bdsl47_letters,Sign 21,ট,tta,,,,
bdsl47_letters,Sign 22,ঠ,ttha,,,,
bdsl47_letters,Sign 23,ড,dda,,,,
bdsl47_letters,Sign 24,ঢ,ddha,,,,
bdsl47_letters,Sign 25,ণ,nna,,,,
bdsl47_letters,Sign 26,ত,ta,,,,
bdsl47_letters,Sign 27,থ,tha,,,,
bdsl47_letters,Sign 28,দ,da,,,,
bdsl47_letters,Sign 29,ধ,dha,,,,
bdsl47_letters,Sign 30,ন,na,,,,
bdsl47_letters,Sign 31,প,pa,,,,
bdsl47_letters,Sign 32,ফ,pha,,,,
bdsl47_letters,Sign 33,ব,ba,,,,
bdsl47_letters,Sign 34,ভ,bha,,,,
bdsl47_letters,Sign 35,ম,ma,,,,
bdsl47_letters,Sign 36,য,ya,,,,
